System Name,Star type,Non-stellar objects,Atmosphere,Temperature,Biosphere,Hydrosphere,Main Liquid,Primary Terrain,Gravity,Population size,Population Breakdown,Number of in-system planets,Habitable planets,Planet Tilt,Hours Per Day,Tech level,Moons,World Tags,Planet-side locales and hooks
Pasiphae,Supergiant,Artificial Structure,"Invasive, toxic atmosphere",Burning,Engineered biosphere,None,Water,Hills,2g,Millions,pak'ma'ra,,Orbit station colonised,10,12,Medieval technology,2 moons - increased tide,Police state,Black market (slaves)
New Venus,Blue sun (cold),Asteroid belt,Breathable mix,Cold,No native biosphere,Miniscule,Water,Arctic/Frozen,1g,Tens of thousands of inhabitants,Gaim,3,1 habitable planet,3,4,Current technology,1d12 moons,"The PCs discover a ringworld in severe disrepair - portions of it are frozen and lifeless, but patches are completely habitable. What marvelous vegetation, minerals, and lifeforms will they find there? Ruins of the ringworld's architects? Other aliens competing over habitable territory? Fugitive aliens trying to make a new home for themselves?",Alien Ruins
Tulkas Prime,Twin stars,Dust cloud,Breathable mix,Temperate,Human-miscible biosphere,19,Water,Desert,0.5 g,Hundreds of thousands,Drakh,5,1 habitable planet,5,6,Current technology,4 moons - super waves,"A death world (harsh climate, unbreathable air, pools of acid, dinosaurs etc) that is also secret home of the tastiest meat in the galaxy. The corporation who produces said meat wish to keep their secrets.",Sealed menace
G'Charrhee,Yellow sun,comet,Breathable mix,Temperate,Human-miscible biosphere,17,Water,Canyon,0.5 g,Tens of thousands of inhabitants,Trallakan,4,1 habitable planet,4,5,21st century tech,12 moons,"The PCs land on a planet which is actually alive, under a single intellect - though they probably won't realize it right away. What sort of things does a planet want?",Pilgrimage site
Lebi A'Essal,Yellow sun,Asteroid belt,Breathable mix,Temperate,Human-miscible biosphere,15,Water,Exotic/Imposible,1g,Hundreds of thousands,TechNet World,6,1 habitable planet,6,7,Current technology,1 moon,"This planet is a complete copy of New York, Earth, 1947. The only difference is that the entire population is that of amphibious, egg laying aliens",Psionics Academy
Chronos,Yellow sun,Asteroid belt,Breathable mix,Warm,Immiscible biosphere,13,Water,Forest,1g,Hundreds of thousands,Equal Parts,,1 habitable planet,7,8,Current technology,2 moons - no tide,"The PCs have conducted a brilliant piece of diplomacy to get sole trading rights to this planet's (fairly primitive) alien culture. At the celebratory feast of eternal friendship, all is going well ...until the less primitive humans from the lost colony on the other continent drop out of the night sky to conquer the PCs' new friends.",Major Shipyard
Vani,Tri-star,Oort Cloud,Corrosive,Frozen,Biosphere remnants,11,Water,Aquatic - Deep Oceans,3g,Failed colony,Equal Parts,1,2 habitable planets,1,1,Stone age technology,,"A planet inhabited only by robots; the original inhabitants, who created the robots, all died off for some reason. Maybe the robots want the PCs to stay, and won't take no for an answer.",Tropic archipelago
Clytia,Dead star,comet,Breathable mix,Warm,Immiscible biosphere,9,Water,Glacier,1g,Millions,Equal Parts,,1 planet + moon colony,8,9,21st century tech,,A massive heat bloom erupts under the polar ice cap of a nearby planet. What will the players find when they investigate?,Black market (arms)
Kothar,Neautron star,Artificial Structure,Thick atmosphere - breathable with pressure mask or 1d4 + con mod hours,Variable temperate-to-warm,Hybrid biosphere,7,Water,Grassland,1g,Millions,Human,,Asteroid belt colonised,9,10,21st century tech,,This planet is flat,Black market (drugs)
2553 Carinae,Red giant,Artificial Structure,Airless or thin atmosphere,Variable cold-to-temperate,Microbial life,5,Water,Aquatic - Shallow waters,2g,Outpost,Human,2,1 habitable planet,2,2,Current technology,,"A star system is about to be consumed by a black hole. The natives of its one habitable planet are trying to gather all of their people, cultural and historical treasures, and other important things onto as many massive ships as they can as quickly as they can. But the planet has become the target of scavengers, pirates, looters and slavers, all of which are trying to make a profit off of the planet's doom.","A very exclusive gambling den aboard a stolen Authoritarian Regime cruiser. The stakes are high, entrance is by invitation only (or if someone inside vouches for you). What makes it interesting is that the gambling hall is inside the main reactor, and losers can wager certain numbers of glasses of radioactive water they are willing to drink, as tokens instead of money."
Peresvet,Black hole,Artificial Structure,Corrosive and invasive atmosphere,Cold,No native biosphere,3,Water,Islands,0.2g,Billions,Human,,Orbit station colonised,,1,Super advanced tech,,Heavy industry,"Roll again, this time the locale is on the moon"
3945 Ursae,,,,,,1,Ammonia,Jungle,1g,Hundreds of thousands,Human,,1 habitable planet,,1,,,Tomb world,Deep space station
6264 Caeli,,,,,,,Bromine,Mountains/Valleys,1g,Millions,Human,,1 planet + moon colony,,2,,,Trade hub,Asteroid base
Amaunet,,,,,,,Caesium,Plains,,,Drazi,,,,2,,,Theocracy,Remote moon base
Bande Scyli,,,,,,,Francium,Rivers/Lakes,,,Drazi,,,,4,,,Local specialty,Ancient orbital ruin
O'Merse,,,,,,,Gallium,Scrubland,,,Drazi,,,,2,,,Hostile Biosphere,Research base
1941 Lacertae,,,,,,,Liquid Nitrogen,Swamp/Bog,,,Ishkara,,,,1,,,Freak weather,Asteroid belt
New France,,,,,,,Liquid Oxygen,Tundra,,,Ishkara,,,,,,,Freak geology,Gas giant mine
Chang-Er,,,,,,,Mercury,Unnatural/Artificial,,,Ishkara,,,,,,,Desert world,Refuelling station
Mulou,,,,,,,Rubidium,Wasteland/Devestation,,,Ishkara,,,,,,,Bubble cities,Museum of Xenoarcheology
Apep,,,,,,,Water,Cryovolcanic,,,Ishkara,,,,,,,Xenophiles,Best bar in the sector
Mendes,,,,,,,Water,Geothermal,,,Illithid,,,,,,,Xenophobes,"The group is part of a expedition to an ancient temple that stumbles on a device left behind by one of the elder races. In exploring/investigating it, one of the expedition accidentally activated it. This causes a miniature black hole to open sucking the expedition and some of their supplies in and spitting them out on the entire other side of the galaxy. Now they have to survive in an unknown environment with limited supplies."
Vonga N'Runni,,,,,,,Water,Forest,,,Illithid,,,,,,,Zombies,"A new power source is discovered that will revolutionize the energy industry. Existing companies want it, and all record of it, destroyed."
Drino Aeo'Morka,,,,,,,,Mangrove,,,Illithid,,,,,,,Oceanic world,"On a newly colonized tropical pleasure planet, a crew member with an abnormally high Psi Score starts to hear voices. It turns out that the 3000km long coral reef is actually a sentient hive mind and it's pissed. If the crew doesn't stop the locals from dynamiting the reef to build hotels, it's going to start causing brain embolisms in people until there are no humans left. A computer model shows it could wipe out the population of ten million people in five days."
8736 Xing Xiu,,,,,,,,Salt flats,,,Narn,,,,,,,Flying cities,A small mining colony on the small moon of an inhabited planet. The planet is middle ages tech level on its two main continents with a couple of areas starting renaissance-style thinking. The colony has mined the far side till it risks breaking up and are fighting over whether to start on the near-side and affecting the locals.
New Vesta,,,,,,,,Acid,,,Narn,,,,,,,Democracy,"You see a large spaceport filled with many tourist ships. Apparently, a local star is about to go supernova in a week, and many visitors from across the system have come to witness the event."
K'Xyra,,,,,,,,Volcanic,,,Narn,,,,,,,Corporate oligarchy,A verdant planet orbits a hyperactive white star. A single colossal pyramid of dark metal rises out of its vast rainforests.
5278 Vespae,,,,,,,,,,,Kasatha,,,,,,,Altered Humanity,"A cratered planet orbits a blue giant star. It is covered with the ruins of a silicon-age civilization, incinerated by nuclear war."
New Callisto,,,,,,,,,,,Kasatha,,,,,,,Utopia,"A city of glass towers drifts in the atmosphere of a gas giant. It has been abandoned, except for a population of bio-engineered birds."
Okieer Yilan,,,,,,,,,,,TechNet World,,,,,,,Post nuclear holocaust,
Zahadum,,,,,,,,,,,pak'ma'ra,,,,,,,Gas giant,
Vorlon,,,,,,,,,,,,,,,,,,Seed Planet,
Narn,,,,,,,,,,,,,,,,,,"Habitable zone is near the core, where it's warmer",
Cenaturi Prime,,,,,,,,,,,,,,,,,,Bread-basket planet,
Micra,,,,,,,,,,,,,,,,,,"Industrial planet, covered completely in machinery",
Psane ,,,,,,,,,,,,,,,,,,Plague infested,
New Charon,,,,,,,,,,,,,,,,,,Irradiated,
Noda Kr'Durli,,,,,,,,,,,,,,,,,,Abandoned colony,
Wotan ,,,,,,,,,,,,,,,,,,Hivemind,
New Vesta,,,,,,,,,,,,,,,,,,Anarchists,
New Terra,,,,,,,,,,,,,,,,,,Antromorphs,
6665 Anuradha,,,,,,,,,,,,,,,,,,Battleground,
Thrudgelmir ,,,,,,,,,,,,,,,,,,Cheap life,
Audon Prime,,,,,,,,,,,,,,,,,,Doomed world,
3618 Hasta I,,,,,,,,,,,,,,,,,,Cybercommunists,
Vargi,,,,,,,,,,,,,,,,,,Cyborgs,
Ifen Prime,,,,,,,,,,,,,,,,,,Dying race,
Aeogrirrn ,,,,,,,,,,,,,,,,,,Eugenics cult,
Uinen,,,,,,,,,,,,,,,,,,Fallen Hegemon,
Utjan ,,,,,,,,,,,,,,,,,,Feral world,
Poltrimpt,,,,,,,,,,,,,,,,,,Forbidden tech,
Asphodel,,,,,,,,,,,,,,,,,,Gold Rush,
B'Shano,,,,,,,,,,,,,,,,,,Great work,
Vorcia Prime,,,,,,,,,,,,,,,,,,Hatred,
New Callisto,,,,,,,,,,,,,,,,,,Holy war,
9553 Shi Xiu ,,,,,,,,,,,,,,,,,,Hostile biosphere,
Inanna ,,,,,,,,,,,,,,,,,,Hostile space,
New Britain,,,,,,,,,,,,,,,,,,Heavy mining,
V'Trani,,,,,,,,,,,,,,,,,,Immortals,
Melkor,,,,,,,,,,,,,,,,,,Local specialty,
The Klinpidor Spiral,,,,,,,,,,,,,,,,,,Mandrinate,
The Xe'vis Baaldi Vortex,,,,,,,,,,,,,,,,,,Maneaters,
The Procyon Quadrant,,,,,,,,,,,,,,,,,,Megacorps,
The K'tonia Supercluster,,,,,,,,,,,,,,,,,,Mercenaries,
The Vadarius Cluster,,,,,,,,,,,,,,,,,,Night world,
The Oxal Region,,,,,,,,,,,,,,,,,,Pleasure world,
Poolovin Region,,,,,,,,,,,,,,,,,,Post-scarcity,
The Poros Pertchil Star System,,,,,,,,,,,,,,,,,,Preceptor archive,
The Tavarth Region,,,,,,,,,,,,,,,,,,Primitive aliens,
The Guntdaleko Tadtos Halo Zone,,,,,,,,,,,,,,,,,,Prison planet,
Daonine Zedinax Region,,,,,,,,,,,,,,,,,,Psionics fear,
Zeta Kneoin Nebula,,,,,,,,,,,,,,,,,,Psionics worship,
Munillian Sulelius Phenomenon,,,,,,,,,,,,,,,,,,Quarantined world,
The Ampid Field,,,,,,,,,,,,,,,,,,Refugees,
Omega Loavera Halo Zone,,,,,,,,,,,,,,,,,,Regional hegemon,
Chokt,,,,,,,,,,,,,,,,,,Restrictive laws,
Ruat,,,,,,,,,,,,,,,,,,Revanchists,
Fims,,,,,,,,,,,,,,,,,,Revolutionaries,
Hiof,,,,,,,,,,,,,,,,,,Rigid culture,
Chons,,,,,,,,,,,,,,,,,,Ritual combat,
Fezziucs,,,,,,,,,,,,,,,,,,Sealed menace,
Eraivlems,,,,,,,,,,,,,,,,,,Seismic instability,
Useezlok,,,,,,,,,,,,,,,,,,Shakcled world,
Priosde,,,,,,,,,,,,,,,,,,Societal dispair,
Vlobduph,,,,,,,,,,,,,,,,,,Sole supplier,
Yeems,,,,,,,,,,,,,,,,,,Taboo treasure,
Struems,,,,,,,,,,,,,,,,,,Terraform failure,
Flih,,,,,,,,,,,,,,,,,,Trade hub,
Esheod,,,,,,,,,,,,,,,,,,Area 51,
Prax,,,,,,,,,,,,,,,,,,Cyclical doom,
Joajeft,,,,,,,,,,,,,,,,,,Ringed planet,
Oflishon,,,,,,,,,,,,,,,,,,This planet is the only source of a rare element.,
Shoirad,,,,,,,,,,,,,,,,,,Vault for dangerous pretech,
Rennir,,,,,,,,,,,,,,,,,,Supply base for pirates,
Osreslunt,,,,,,,,,,,,,,,,,,Black market for the elite,
Fenrir,,,,,,,,,,,,,,,,,,Foreign sabotage attempt,
Alator,,,,,,,,,,,,,,,,,,Things are emerging below,
Dagda,,,,,,,,,,,,,,,,,,Hideously immoral research,
Albiorix,,,,,,,,,,,,,,,,,,Human(oid) sacrifice,
Belenus,,,,,,,,,,,,,,,,,,Intricate Cave System,
Brigit,,,,,,,,,,,,,,,,,,Communications Hub,
Ceridwen,,,,,,,,,,,,,,,,,,Deadly plant life,
Epona,,,,,,,,,,,,,,,,,,Automated Defense System,
Esus,,,,,,,,,,,,,,,,,,Crystalline Surface,
Lenus,,,,,,,,,,,,,,,,,,Radioactive precious materials,
Maponus,,,,,,,,,,,,,,,,,,Huge Fungi,
Morrigan,,,,,,,,,,,,,,,,,,Giant hive mind insectoids,
Saitada,,,,,,,,,,,,,,,,,,Expansive library,
Minerva,,,,,,,,,,,,,,,,,,Mine field around planet,
Fiora,,,,,,,,,,,,,,,,,,,
Fortuna,,,,,,,,,,,,,,,,,,,
Faunus,,,,,,,,,,,,,,,,,,,
Charites,,,,,,,,,,,,,,,,,,,
Clyde,,,,,,,,,,,,,,,,,,,
Cybele,,,,,,,,,,,,,,,,,,,
Juno,,,,,,,,,,,,,,,,,,,
Janus,,,,,,,,,,,,,,,,,,,
Spes,,,,,,,,,,,,,,,,,,,
Sol Invictus,,,,,,,,,,,,,,,,,,,
Quinnies,,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
Vulcania,,,,,,,,,,,,,,,,,,,
Veritas,,,,,,,,,,,,,,,,,,,
Vesta,,,,,,,,,,,,,,,,,,,
Lares,,,,,,,,,,,,,,,,,,,
Parcae,,,,,,,,,,,,,,,,,,,
Io,,,,,,,,,,,,,,,,,,,
Europa,,,,,,,,,,,,,,,,,,,
Ganymede,,,,,,,,,,,,,,,,,,,
Callisto,,,,,,,,,,,,,,,,,,,
Amalthea,,,,,,,,,,,,,,,,,,,
Himalia,,,,,,,,,,,,,,,,,,,
Elara,,,,,,,,,,,,,,,,,,,
Pasiphae,,,,,,,,,,,,,,,,,,,
Sinope,,,,,,,,,,,,,,,,,,,
Lysithea,,,,,,,,,,,,,,,,,,,
Carme,,,,,,,,,,,,,,,,,,,
Ananke,,,,,,,,,,,,,,,,,,,
Leda,,,,,,,,,,,,,,,,,,,
Thebe,,,,,,,,,,,,,,,,,,,
Adrastea,,,,,,,,,,,,,,,,,,,
Metis,,,,,,,,,,,,,,,,,,,
Callirrhoe,,,,,,,,,,,,,,,,,,,
Themisto,,,,,,,,,,,,,,,,,,,
Megaclite,,,,,,,,,,,,,,,,,,,
Taygete,,,,,,,,,,,,,,,,,,,
Chaldene,,,,,,,,,,,,,,,,,,,
Harpalyke,,,,,,,,,,,,,,,,,,,
Kalyke,,,,,,,,,,,,,,,,,,,
Iocaste,,,,,,,,,,,,,,,,,,,
Erinome,,,,,,,,,,,,,,,,,,,
Isonoe,,,,,,,,,,,,,,,,,,,
Praxidike,,,,,,,,,,,,,,,,,,,
Autonoe,,,,,,,,,,,,,,,,,,,
Thyone,,,,,,,,,,,,,,,,,,,
Hermippe,,,,,,,,,,,,,,,,,,,
Aitne,,,,,,,,,,,,,,,,,,,
Eurydome,,,,,,,,,,,,,,,,,,,
Euanthe,,,,,,,,,,,,,,,,,,,
Euporie,,,,,,,,,,,,,,,,,,,
Orthosie,,,,,,,,,,,,,,,,,,,
Sponde,,,,,,,,,,,,,,,,,,,
Kale,,,,,,,,,,,,,,,,,,,
Pasithee,,,,,,,,,,,,,,,,,,,
Hegemone,,,,,,,,,,,,,,,,,,,
Mneme,,,,,,,,,,,,,,,,,,,
Aoede,,,,,,,,,,,,,,,,,,,
Thelxinoe,,,,,,,,,,,,,,,,,,,
Arche,,,,,,,,,,,,,,,,,,,
Kallichore,,,,,,,,,,,,,,,,,,,
Helike,,,,,,,,,,,,,,,,,,,
Carpo,,,,,,,,,,,,,,,,,,,
Eukelade,,,,,,,,,,,,,,,,,,,
Cyllene,,,,,,,,,,,,,,,,,,,
Kore,,,,,,,,,,,,,,,,,,,
Herse,,,,,,,,,,,,,,,,,,,
Dia,,,,,,,,,,,,,,,,,,,
Eirene,,,,,,,,,,,,,,,,,,,
Philophrosyne,,,,,,,,,,,,,,,,,,,
Eupheme,,,,,,,,,,,,,,,,,,,
Valetudo,,,,,,,,,,,,,,,,,,,
Pandia,,,,,,,,,,,,,,,,,,,
Ersa,,,,,,,,,,,,,,,,,,,
Mimas,,,,,,,,,,,,,,,,,,,
Enceladus,,,,,,,,,,,,,,,,,,,
Tethys,,,,,,,,,,,,,,,,,,,
Dione,,,,,,,,,,,,,,,,,,,
Rhea,,,,,,,,,,,,,,,,,,,
Titan,,,,,,,,,,,,,,,,,,,
Hyperion,,,,,,,,,,,,,,,,,,,
Iapetus,,,,,,,,,,,,,,,,,,,
Phoebe,,,,,,,,,,,,,,,,,,,
Janus,,,,,,,,,,,,,,,,,,,
Epimetheus,,,,,,,,,,,,,,,,,,,
Helene,,,,,,,,,,,,,,,,,,,
Telesto,,,,,,,,,,,,,,,,,,,
Calypso,,,,,,,,,,,,,,,,,,,
Atlas,,,,,,,,,,,,,,,,,,,
Prometheus,,,,,,,,,,,,,,,,,,,
Pandora,,,,,,,,,,,,,,,,,,,
Pan,,,,,,,,,,,,,,,,,,,
Ymir,,,,,,,,,,,,,,,,,,,
Paaliaq,,,,,,,,,,,,,,,,,,,
Tarvos,,,,,,,,,,,,,,,,,,,
Ijiraq,,,,,,,,,,,,,,,,,,,
Suttungr,,,,,,,,,,,,,,,,,,,
Kiviuq,,,,,,,,,,,,,,,,,,,
Mundilfari,,,,,,,,,,,,,,,,,,,
Albiorix,,,,,,,,,,,,,,,,,,,
Skathi,,,,,,,,,,,,,,,,,,,
Erriapus,,,,,,,,,,,,,,,,,,,
Siarnaq,,,,,,,,,,,,,,,,,,,
Thrymr,,,,,,,,,,,,,,,,,,,
Narvi,,,,,,,,,,,,,,,,,,,
Methone,,,,,,,,,,,,,,,,,,,
Pallene,,,,,,,,,,,,,,,,,,,
Polydeuces,,,,,,,,,,,,,,,,,,,
Daphnis,,,,,,,,,,,,,,,,,,,
Aegir,,,,,,,,,,,,,,,,,,,
Bebhionn,,,,,,,,,,,,,,,,,,,
Bergelmir,,,,,,,,,,,,,,,,,,,
Bestla,,,,,,,,,,,,,,,,,,,
Farbauti,,,,,,,,,,,,,,,,,,,
Fenrir,,,,,,,,,,,,,,,,,,,
Fornjot,,,,,,,,,,,,,,,,,,,
Hati,,,,,,,,,,,,,,,,,,,
Hyrrokkin,,,,,,,,,,,,,,,,,,,
Kari,,,,,,,,,,,,,,,,,,,
Loge,,,,,,,,,,,,,,,,,,,
Skoll,,,,,,,,,,,,,,,,,,,
Surtur,,,,,,,,,,,,,,,,,,,
Anthe,,,,,,,,,,,,,,,,,,,
Jarnsaxa,,,,,,,,,,,,,,,,,,,
Greip,,,,,,,,,,,,,,,,,,,
Tarqeq,,,,,,,,,,,,,,,,,,,
Aegaeon,,,,,,,,,,,,,,,,,,,
Gilgamehs,,,,,,,,,,,,,,,,,,,
Uruk-Hai,,,,,,,,,,,,,,,,,,,
Ea,,,,,,,,,,,,,,,,,,,
Elil,,,,,,,,,,,,,,,,,,,
Marduk,,,,,,,,,,,,,,,,,,,
Savarin,,,,,,,,,,,,,,,,,,,
Primatia,,,,,,,,,,,,,,,,,,,
Shir'lukman,,,,,,,,,,,,,,,,,,,
Amulet,,,,,,,,,,,,,,,,,,,
Z'ha'dum,,,,,,,,,,,,,,,,,,,
Keiridan,,,,,,,,,,,,,,,,,,,
Shakuras,,,,,,,,,,,,,,,,,,,
Aiur,,,,,,,,,,,,,,,,,,,
Altalena,,,,,,,,,,,,,,,,,,,
New Hebron,,,,,,,,,,,,,,,,,,,
Reach,,,,,,,,,,,,,,,,,,,
Bling,,,,,,,,,,,,,,,,,,,
ZoopZoop,,,,,,,,,,,,,,,,,,,
Aye-Karamba,,,,,,,,,,,,,,,,,,,
Sigma Five,,,,,,,,,,,,,,,,,,,
Minbar,,,,,,,,,,,,,,,,,,,
Rhorschicus V,,,,,,,,,,,,,,,,,,,
Agach Major,,,,,,,,,,,,,,,,,,,
Reznian Maximus,,,,,,,,,,,,,,,,,,,
Skerru's Bastion,,,,,,,,,,,,,,,,,,,
Luthold's Bastion,,,,,,,,,,,,,,,,,,,
Damnari Gamma,,,,,,,,,,,,,,,,,,,
Azertoh,,,,,,,,,,,,,,,,,,,
A1B2C3,,,,,,,,,,,,,,,,,,,
X-23,,,,,,,,,,,,,,,,,,,
Argyle,,,,,,,,,,,,,,,,,,,
New Delhi,,,,,,,,,,,,,,,,,,,
New New Albani,,,,,,,,,,,,,,,,,,,
Jlo,,,,,,,,,,,,,,,,,,,
Kobo,,,,,,,,,,,,,,,,,,,
Koru,,,,,,,,,,,,,,,,,,,
Tarrasque,,,,,,,,,,,,,,,,,,,
Glabrezu,,,,,,,,,,,,,,,,,,,
Demogorgon,,,,,,,,,,,,,,,,,,,
Ynnoghu,,,,,,,,,,,,,,,,,,,
Zuggtmoi,,,,,,,,,,,,,,,,,,,
Jerbalax,,,,,,,,,,,,,,,,,,,
Zeta Theta Theta,,,,,,,,,,,,,,,,,,,
"£$£""^",,,,,,,,,,,,,,,,,,,
TikTok,,,,,,,,,,,,,,,,,,,
Soldja,,,,,,,,,,,,,,,,,,,
Kohn,,,,,,,,,,,,,,,,,,,
Caer-Amar,,,,,,,,,,,,,,,,,,,
Toril,,,,,,,,,,,,,,,,,,,
Requiem,,,,,,,,,,,,,,,,,,,
Sanctuary,,,,,,,,,,,,,,,,,,,
Refuge,,,,,,,,,,,,,,,,,,,
Abbadon,,,,,,,,,,,,,,,,,,,
Thetis,,,,,,,,,,,,,,,,,,,
Avernus,,,,,,,,,,,,,,,,,,,
Maddon,,,,,,,,,,,,,,,,,,,
Dis,,,,,,,,,,,,,,,,,,,
Phlegehos,,,,,,,,,,,,,,,,,,,
Stygia,,,,,,,,,,,,,,,,,,,
Mabolge,,,,,,,,,,,,,,,,,,,
Maldomini,,,,,,,,,,,,,,,,,,,
Cania,,,,,,,,,,,,,,,,,,,
Nessus,,,,,,,,,,,,,,,,,,,
Char,,,,,,,,,,,,,,,,,,,
Ash,,,,,,,,,,,,,,,,,,,
Maelstrom,,,,,,,,,,,,,,,,,,,
Ahazu,,,,,,,,,,,,,,,,,,,
Baphomet,,,,,,,,,,,,,,,,,,,
Grankhul,,,,,,,,,,,,,,,,,,,
Grendl,,,,,,,,,,,,,,,,,,,
